,Unnamed: 0,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,year,movie_id,runtime_minutes,genres,averagerating,numvotes,profit,ROI
322,336,4,"Sep 14, 2012",Resident Evil: Retribution,65000000,42345531,240647629,2012,tt1855325,95.0,"Action,Horror,Sci-Fi",5.4,125191.0,175647629,270.2271215384616
365,380,70,"Sep 10, 2010",Resident Evil: Afterlife,57500000,60128566,295874190,2010,tt1220634,96.0,"Action,Adventure,Horror",5.9,153270.0,238374190,414.5638086956522
238,248,70,"Mar 16, 2018",Tomb Raider,90000000,58250803,273477501,2018,tt1365519,119.0,"Action,Adventure,Fantasy",6.3,163560.0,183477501,203.86389
311,325,70,"Mar 14, 2014",Need for Speed,66000000,43568507,194169619,2014,tt2369135,132.0,"Action,Crime,Thriller",6.5,154909.0,128169619,194.19639242424242
100,102,46,"Jun 10, 2016",Warcraft,160000000,47225655,425522281,2016,tt0803096,123.0,"Action,Adventure,Fantasy",6.9,225557.0,265522281,165.951425625
563,585,8,"Aug 21, 2015",Hitman: Agent 47,35000000,22467450,82182803,2015,tt2679042,96.0,"Action,Adventure,Crime",5.7,80510.0,47182803,134.80800857142856
171,176,90,"Apr 13, 2018",Rampage,120000000,101028233,428056280,2018,tt2231461,107.0,"Action,Adventure,Sci-Fi",6.1,115891.0,308056280,256.7135666666667
