,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,title,studio,domestic_gross_x,foreign_gross,year,id,release_date,movie,production_budget,domestic_gross_y,worldwide_gross
114861,tt6802308,The 15:17 to Paris,The 15:17 to Paris,2018,94.0,"Biography,Drama,Thriller",5.2,21880.0,The 15:17 to Paris,WB,36300000.0,20800000,2018.0,23.0,"Feb 9, 2018",The 15:17 to Paris,"$30,000,000","$36,276,286","$56,096,200"
115001,tt6814096,When the Bough Breaks,When the Bough Breaks,2017,93.0,,6.1,8.0,When the Bough Breaks,SGem,29700000.0,911000,2016.0,85.0,"Sep 9, 2016",When the Bough Breaks,"$10,000,000","$29,747,603","$30,768,449"
115399,tt6845582,The Wall,The Wall,2017,5.0,Documentary,,,The Wall,RAtt.,1800000.0,2700000,2017.0,29.0,"May 12, 2017",The Wall,"$3,000,000","$1,803,064","$4,495,262"
115476,tt6850820,Peppermint,Peppermint,2018,101.0,"Action,Crime,Drama",6.5,35854.0,Peppermint,STX,35400000.0,18400000,2018.0,21.0,"Sep 7, 2018",Peppermint,"$25,000,000","$35,418,723","$51,800,758"
115482,tt6851110,Wanderlust,Wanderlust,2017,,Documentary,,,Wanderlust,Uni.,17500000.0,4200000,2012.0,88.0,"Feb 24, 2012",Wanderlust,"$32,500,000","$17,288,155","$24,159,934"
115578,tt6857166,Book Club,Book Club,2018,104.0,"Comedy,Drama,Romance",6.1,18728.0,Book Club,Par.,68600000.0,,2018.0,43.0,"May 18, 2018",Book Club,"$10,000,000","$68,566,296","$91,113,683"
115638,tt6858500,Robin Hood,Robin Hood,2018,,,7.6,5.0,Robin Hood,Uni.,105300000.0,216400000,2010.0,39.0,"May 14, 2010",Robin Hood,"$210,000,000","$105,487,148","$322,459,006"
115814,tt6869948,Truth or Dare,Truth or Dare,2018,92.0,"Comedy,Drama,Romance",,,Truth or Dare,Uni.,41400000.0,53900000,2018.0,91.0,"Apr 13, 2018",Truth or Dare,"$3,500,000","$41,411,015","$95,127,344"
116110,tt6893224,Unfinished Business,Unfinished Business,2017,,"Fantasy,Thriller",,,Unfinished Business,Fox,10200000.0,4200000,2015.0,32.0,"Mar 6, 2015",Unfinished Business,"$35,000,000","$10,219,501","$13,214,051"
116159,tt6897484,Life of the Party,Life of the Party,2017,115.0,Drama,,,Life of the Party,WB (NL),53100000.0,12800000,2018.0,88.0,"May 11, 2018",Life of the Party,"$30,000,000","$53,059,911","$65,759,911"
116558,tt6925204,Genius,Genius,2012,,Drama,5.4,14.0,Genius,RAtt.,1400000.0,4300000,2016.0,10.0,"Jun 10, 2016",Genius,"$17,000,000","$1,361,045","$7,265,283"
116790,tt6949630,Addicted,Addicted,2017,54.0,Drama,,,Addicted,LGF,17400000.0,,2014.0,96.0,"Oct 10, 2014",Addicted,"$5,000,000","$17,390,770","$17,499,242"
116918,tt6960218,Do You Believe?,Do You Believe?,2017,71.0,"Fantasy,Horror",3.8,37.0,Do You Believe?,PFR,13000000.0,1400000,2015.0,60.0,"Mar 20, 2015",Do You Believe?,"$2,300,000","$12,985,600","$14,304,931"
117010,tt6966692,Green Book,Green Book,2018,130.0,"Biography,Comedy,Drama",8.3,204972.0,Green Book,Uni.,85100000.0,234700000,2018.0,71.0,"Nov 16, 2018",Green Book,"$23,000,000","$85,080,171","$322,034,439"
117425,tt6998518,Mandy,Mandy,2018,121.0,"Action,Fantasy,Horror",6.6,44378.0,Mandy,RLJ,1200000.0,,2018.0,71.0,"Sep 14, 2018",Mandy,"$6,000,000","$1,214,525","$1,427,656"
117460,tt7002100,Coco,Coco,2017,98.0,Horror,7.4,35.0,Coco,BV,209700000.0,597400000,2017.0,2.0,"Nov 22, 2017",Coco,"$175,000,000","$209,726,015","$798,008,101"
117614,tt7016298,Animal Kingdom,Animal Kingdom,2017,121.0,"Drama,Fantasy,Horror",,,Animal Kingdom,SPC,1000000.0,5700000,2010.0,71.0,"Aug 13, 2010",Animal Kingdom,"$4,200,000","$1,044,039","$8,078,683"
117748,tt7027210,First Man,First Man,2017,92.0,Documentary,6.6,186.0,First Man,Uni.,44900000.0,60800000,2018.0,6.0,"Oct 12, 2018",First Man,"$60,000,000","$44,936,545","$105,203,825"
117895,tt7040874,A Simple Favor,A Simple Favor,2018,117.0,"Comedy,Crime,Drama",6.9,83338.0,A Simple Favor,LGF,53500000.0,44100000,2018.0,24.0,"Sep 14, 2018",A Simple Favor,"$20,000,000","$53,548,586","$97,628,717"
118515,tt7098772,Unstoppable,Unstoppable,2017,12.0,Documentary,,,Unstoppable,Fox,81600000.0,86200000,2010.0,19.0,"Nov 12, 2010",Unstoppable,"$95,000,000","$81,562,942","$165,720,921"
118777,tt7122852,Let Me In,Let Me In,2017,74.0,Horror,5.1,7.0,Let Me In,Over.,12100000.0,12000000,2010.0,38.0,"Oct 1, 2010",Let Me In,"$20,000,000","$12,134,935","$28,270,399"
118814,tt7125860,If Beale Street Could Talk,If Beale Street Could Talk,2018,119.0,"Drama,Romance",7.2,25512.0,If Beale Street Could Talk,Annapurna,14900000.0,5700000,2018.0,96.0,"Dec 14, 2018",If Beale Street Could Talk,"$12,000,000","$14,915,773","$19,859,167"
118865,tt7130472,Stronger,Stronger,2016,47.0,"Action,Sport",8.4,8.0,Stronger,RAtt.,4200000.0,4200000,2017.0,90.0,"Sep 22, 2017",Stronger,"$30,000,000","$4,211,129","$8,786,752"
118988,tt7137380,Destroyer,Destroyer,2018,121.0,"Action,Crime,Drama",6.2,13683.0,Destroyer,Annapurna,1500000.0,4000000,2018.0,5.0,"Dec 25, 2018",Destroyer,"$9,000,000","$1,533,324","$3,681,096"
119206,tt7153766,Unsane,Unsane,2018,98.0,"Drama,Horror,Mystery",6.4,32049.0,Unsane,BST,7700000.0,6600000,2018.0,70.0,"Mar 23, 2018",Unsane,"$1,500,000","$7,690,044","$14,244,931"
120569,tt7258476,Churchill,Churchill,2015,65.0,Biography,,,Churchill,Cohen,1300000.0,,2017.0,91.0,"Jun 2, 2017",Churchill,"$10,000,000","$1,279,681","$7,582,196"
121366,tt7316906,Unfinished Business,Unfinished Business,2017,60.0,Drama,,,Unfinished Business,Fox,10200000.0,4200000,2015.0,32.0,"Mar 6, 2015",Unfinished Business,"$35,000,000","$10,219,501","$13,214,051"
121493,tt7325124,Arrival,Arrival,2012,,Documentary,,,Arrival,Par.,100500000.0,102800000,2016.0,34.0,"Nov 11, 2016",Arrival,"$47,000,000","$100,546,139","$203,127,894"
